Video ID,PhraseEmoji
2020-0213-143552-042780,"[{""phrase"": ""vehicles moving under overpass"", ""emoji"": '🚚'}, {""phrase"": ""pedestrians carrying handbags on sidewalk"", ""emoji"": '👜'}, {""phrase"": ""white truck ahead of white car"", ""emoji"": '🚗'}, {""phrase"": ""people walking under traffic lights"", ""emoji"": '🚦'}, {""phrase"": ""cars and pedestrians on city street"", ""emoji"": '🌆'}]"
2020-0213-143552-043267,"[{""phrase"": ""white truck driving down city street"", ""emoji"": '🚚'}, {""phrase"": ""black van moving with traffic"", ""emoji"": '🚐'}, {""phrase"": ""vehicles waiting at traffic light"", ""emoji"": '🚦'}, {""phrase"": ""pedestrians walking on city sidewalk"", ""emoji"": '🚶'}, {""phrase"": ""cars and bus on busy street"", ""emoji"": '🚌'}]"
2020-0217-110854-001129,"[{""phrase"": ""vehicles navigating through intersection"", ""emoji"": '🚗'}, {""phrase"": ""motorcycle rider wearing helmet"", ""emoji"": '🏍️'}, {""phrase"": ""cars and trucks driving on right side"", ""emoji"": '🚚'}, {""phrase"": ""pedestrians on sidewalks near traffic"", ""emoji"": '🚶‍♀️'}, {""phrase"": ""red motorcycle turning at intersection"", ""emoji"": '🛣️'}]"
2020-0206-101736-007503,"[{""phrase"": ""cars driving on city street"", ""emoji"": 🚗}, {""phrase"": ""bicycle parked on city street"", ""emoji"": 🚴}, {""phrase"": ""pedestrians walking on sidewalks"", ""emoji"": 👣}, {""phrase"": ""cars moving past traffic lights"", ""emoji"": ⚠️}, {""phrase"": ""cars driving in opposite directions"", ""emoji"": ➡️}]"
2020-0203-154554-014504,"[{""phrase"": ""cars turning at city intersection"", ""emoji"": 🚗}, {""phrase"": ""pedestrians crossing street at crosswalk"", ""emoji"": 🚶}, {""phrase"": ""traffic light regulating city traffic"", ""emoji"": ⚠️}, {""phrase"": ""clock tower in city background"", ""emoji"": 🕰️}, {""phrase"": ""vehicles and pedestrians in urban setting"", ""emoji"": 🏙️}]"
2020-0228-150133-063806,"[{""phrase"": ""vehicles moving in city street"", ""emoji"": '🚗'}, {""phrase"": ""cars and trucks on busy street"", ""emoji"": '🚚'}, {""phrase"": ""vans and cars driving downtown"", ""emoji"": '🚐'}, {""phrase"": ""pedestrians and vehicles sharing road"", ""emoji"": '🚶‍♀️'}, {""phrase"": ""city traffic with vehicles and lights"", ""emoji"": '🚦'}]"
2020-0206-101736-040723,"[{""phrase"": ""cars driving down city street"", ""emoji"": '🚗'}, {""phrase"": ""vehicles moving in urban setting"", ""emoji"": '🚌'}, {""phrase"": ""cars and truck on busy street"", ""emoji"": '🚚'}, {""phrase"": ""cars interacting on city road"", ""emoji"": '🚗'}, {""phrase"": ""vehicles in motion on urban street"", ""emoji"": '🚐'}]"
2020-0205-152530-033497,"[{""phrase"": ""cars driving on city street"", ""emoji"": ""🚗""}, {""phrase"": ""trucks moving on urban road"", ""emoji"": ""🚚""}, {""phrase"": ""vehicles driving past buildings"", ""emoji"": ""🏢""}, {""phrase"": ""cars and trucks on marked road"", ""emoji"": ""🚧""}, {""phrase"": ""vehicles passing trees on city street"", ""emoji"": ""🌳""}]"
2020-0207-151349-043007,"[{""phrase"": ""cars and trucks moving on road"", ""emoji"": '🚚'}, {""phrase"": ""vehicles moving in both directions"", ""emoji"": '🚗'}, {""phrase"": ""pedestrian walkway separated from road"", ""emoji"": '🚶‍♀️'}, {""phrase"": ""tall buildings lining city street"", ""emoji"": '🏙️'}, {""phrase"": ""vehicles moving with clear blue sky"", ""emoji"": '✈️'}]"
2020-0206-101736-002813,"[{""phrase"": ""red car driving on city street"", ""emoji"": '🚗'}, {""phrase"": ""motorcycle driving on left side"", ""emoji"": '🚲'}, {""phrase"": ""people walking on city sidewalk"", ""emoji"": '🚶'}, {""phrase"": ""cars and motorcycle on busy street"", ""emoji"": '🚗'}, {""phrase"": ""vehicles driving past commercial buildings"", ""emoji"": '🏢'}]"
